variable,variable_role,conflict_expedientes,conflict_pct,example_conflict_expedientes
rango_edad,diagnostic_only_entity_level,96783,65.89121954208451,2016/1000 | 2016/10001 | 2016/10004 | 2016/1001 | 2016/10014
tipo_vehiculo,diagnostic_only_entity_level,60053,40.88492201275846,2016/1000 | 2016/10004 | 2016/1001 | 2016/10018 | 2016/10019
sexo,diagnostic_only_entity_level,51736,35.222592131152005,2016/1000 | 2016/10003 | 2016/10004 | 2016/10014 | 2016/10016
coordenada_x_utm,master_accident_level,0,0,NA
coordenada_y_utm,master_accident_level,0,0,NA
dia_semana,master_accident_level,0,0,NA
direccion_unica,master_accident_level,0,0,NA
distrito,master_accident_level,0,0,NA
es_festivo,master_accident_level,0,0,NA
estado_meteorologico,master_accident_level,0,0,NA
fecha,master_accident_level,0,0,NA
hora,master_accident_level,0,0,NA
id_sensor_cercano,master_accident_level,0,0,NA
intensidad,master_accident_level,0,0,NA
ocupacion,master_accident_level,0,0,NA
tipo_accidente,master_accident_level,0,0,NA
vmed,master_accident_level,0,0,NA
